COMUNA,NOMBRE,PARTIDO,PACTO,RELECCIÓN,AÑOS EN EL CARGO,PERIODOS COMO ALCALDE,CANDIDATURAS ANTERIORES * ,FACEBOOK,TWITTER
Chépica,REBECA COFRE,UDI,Coalición,No,4,2008 - 2012,"2004, 2008",,
Chiguayante,JORGE LOZANO ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/jorgelozanoalcalde,
Chiguayante,ANTONIO RIVAS,PS,Concertación,No,0,Ninguno,2000,https://www.facebook.com/antoniorivas.alcalde,
Chiguayante,JUAN LUIS CASTILLO,IND,Sin Pacto,No,0,Ninguno,No,,
Chiguayante,RODRIGO ANABALON,RN,Coalición,No,0,Ninguno,No,https://www.facebook.com/rodrigoanabalon.granalcaldeparachiguayante,Anabalon2012
Chile Chico,LUPERCIANO MUÑOZ ,PPD,Por un Chile Justo,Sí,8,2004 - 2012,"2000, 2004, 2008",,
Chile Chico,PEDRO DURAN,RN,Coalición,No,0,Ninguno,No,,Unt_Duranmas
Chile Chico,GLEN CACERES,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/pages/Glen-C%C3%A1ceres-Alcalde-2012/285111608270397,
Chillán,ALDO BERNUCCI,PRSD,Por un Chile Justo,No,12,1996-2008,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/alcalde.bernuccidiaz,aldobernucci
Chillán,CLAUDIO MARTINEZ ,IND,Sin Pacto,No,0,Ninguno,No,,Claudiochillan
Chillán,SERGIO ZARZAR,IND,Coalición,Sí,4,2008-2012,2008,,Alcaldezarzar
Chillán,CRISTIAN QUIROZ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/pages/Cristian-Quiroz-Alcalde-para-Chill%C3%A1n/118868014904993,Cristian_Quiroz
Chillán Viejo,FELIPE AYLWIN,IND,Concertación,Sí,4,2008-2012,"2004, 2008",,
Chillán Viejo,JULIO SAN MARTIN,IND,Sin Pacto,No,8,2000-2008,"2000, 2004",,
Chillán Viejo,MAURICIO CAREAGA ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/Dr.Careaga.Alcalde,
Chillán Viejo,RICARDO ASFURA,IND,Coalición,No,0,Ninguno,No,,Ricardoasfurai
Chillán Viejo,SANTIAGO BARRIENTOS,IND,Sin Pacto,No,0,Ninguno,2008,,
Chimbarongo,ALYSON HADAD,PS,Concertación,No,0,Ninguno,No,https://www.facebook.com/AlysonAlcaldesa,
Chimbarongo,COSME MELLADO ,PRI,Regionalistas e Independientes,Sí,12,2000-2012,"1996, 2000, 2004, 2008",,
Chimbarongo,MANUEL PEREZ,IND,El cambio por ti,No,0,Ninguno,1996,,
Cholchol,ARNOLDO ÑANCULEF,IND,Sin Pacto,No,0,Ninguno,2008,,
Cholchol,LUIS HUIRILEF ,IND,Sin Pacto,No,4,2004 - 2008,"2004, 2008",https://www.facebook.com/luishuirilef.alcalde,
Cholchol,SANTIAGO ARAYA,IND,Concertación,No,0,Ninguno,No,,
Cholchol,VIOLETA CEA,UDI,Coalición,Sí,4,2008 - 2012,"2004, 2008",https://www.facebook.com/VioletaCea2012,Violetacea
Chonchi,PEDRO ANDRADE PEREZ,RN,Coalición,No,0,Ninguno,1992,https://www.facebook.com/pedroantonio.andradeperez,pedrornchonchi
